slug,name,clinic,state,current_image
dr-jennifer-kim-tuscaloosa,"Dr. Jennifer Kim, MD","Tuscaloosa TMS Center",AL,dicebear
dr-maria-patel-tuscaloosa,"Dr. Maria Patel, MD","Tuscaloosa Mental Health & TMS",AL,dicebear
dr-jennifer-lee-anchorage,"Dr. Jennifer Lee, MD","Anchorage TMS Center",AK,dicebear
dr-maria-wilson-anchorage,"Dr. Maria Wilson, MD","Anchorage Mental Health & TMS",AK,dicebear
dr-robert-wong-anchorage,"Dr. Robert Wong, MD","Anchorage Depression Treatment Center",AK,dicebear
dr-william-garcia-anchorage,"Dr. William Garcia, MD","Anchorage Depression Treatment Center",AK,dicebear
dr-james-jackson-anchorage,"Dr. James Jackson, MD","Anchorage Depression Treatment Center",AK,dicebear
dr-alan-anderson-fairbanks,"Dr. Alan Anderson, MD","Fairbanks TMS Center",AK,dicebear
dr-christopher-johnson-fairbanks,"Dr. Christopher Johnson, MD","Fairbanks TMS Center",AK,dicebear
dr-ashley-martinez-fairbanks,"Dr. Ashley Martinez, MD","Fairbanks TMS Center",AK,dicebear
dr-william-smith-fairbanks,"Dr. William Smith, MD","Fairbanks Mental Health & TMS",AK,dicebear
dr-james-patel-fairbanks,"Dr. James Patel, MD","Fairbanks Mental Health & TMS",AK,dicebear
dr-elizabeth-martinez-fairbanks,"Dr. Elizabeth Martinez, MD","Fairbanks Mental Health & TMS",AK,dicebear
dr-elizabeth-moore-fairbanks,"Dr. Elizabeth Moore, MD","Fairbanks Depression Treatment Center",AK,dicebear
dr-ashley-martinez-fairbanks,"Dr. Ashley Martinez, MD","Fairbanks Depression Treatment Center",AK,dicebear
dr-ashley-davis-fairbanks,"Dr. Ashley Davis, MD","Fairbanks Depression Treatment Center",AK,dicebear
dr-emily-lee-juneau,"Dr. Emily Lee, MD","Juneau TMS Center",AK,dicebear
dr-david-martinez-juneau,"Dr. David Martinez, MD","Juneau TMS Center",AK,dicebear
dr-christopher-taylor-juneau,"Dr. Christopher Taylor, MD","Juneau TMS Center",AK,dicebear
dr-sarah-johnson-juneau,"Dr. Sarah Johnson, MD","Juneau Mental Health & TMS",AK,dicebear
dr-david-kim-juneau,"Dr. David Kim, MD","Juneau Depression Treatment Center",AK,dicebear
dr-christopher-johnson-juneau,"Dr. Christopher Johnson, MD","Juneau Depression Treatment Center",AK,dicebear
dr-robert-wilson-juneau,"Dr. Robert Wilson, MD","Dr. Wilson Private Practice",AK,dicebear
dr-robert-garcia-juneau,"Dr. Robert Garcia, MD","Dr. Wilson Private Practice",AK,dicebear
dr-ashley-wilson-wasilla,"Dr. Ashley Wilson, MD","Wasilla TMS Center",AK,dicebear
dr-daniel-thomas-wasilla,"Dr. Daniel Thomas, MD","Wasilla TMS Center",AK,dicebear
dr-michael-taylor-wasilla,"Dr. Michael Taylor, MD","Wasilla TMS Center",AK,dicebear
dr-emily-kim-wasilla,"Dr. Emily Kim, MD","Wasilla Mental Health & TMS",AK,dicebear
dr-james-taylor-wasilla,"Dr. James Taylor, MD","Wasilla Mental Health & TMS",AK,dicebear
dr-jennifer-johnson-wasilla,"Dr. Jennifer Johnson, MD","Wasilla Depression Treatment Center",AK,dicebear
dr-david-johnson-wasilla,"Dr. David Johnson, MD","Wasilla Depression Treatment Center",AK,dicebear
dr-jessica-brown-wasilla,"Dr. Jessica Brown, MD","Dr. Brown Private Practice",AK,dicebear
dr-daniel-brown-wasilla,"Dr. Daniel Brown, MD","Dr. Brown Private Practice",AK,dicebear
dr-robert-brown-wasilla,"Dr. Robert Brown, MD","Dr. Brown Private Practice",AK,dicebear
dr-michael-garcia-sitka,"Dr. Michael Garcia, MD","Sitka TMS Center",AK,dicebear
dr-elizabeth-jackson-sitka,"Dr. Elizabeth Jackson, MD","Sitka Mental Health & TMS",AK,dicebear
dr-robert-taylor-sitka,"Dr. Robert Taylor, MD","Sitka Mental Health & TMS",AK,dicebear
dr-sarah-johnson-sitka,"Dr. Sarah Johnson, MD","Sitka Mental Health & TMS",AK,dicebear
dr-jennifer-martinez-sitka,"Dr. Jennifer Martinez, MD","Sitka Depression Treatment Center",AK,dicebear
dr-daniel-johnson-sitka,"Dr. Daniel Johnson, MD","Dr. Johnson Private Practice",AK,dicebear
dr-alan-jackson-sitka,"Dr. Alan Jackson, MD","Dr. Johnson Private Practice",AK,dicebear
dr-william-lee-phoenix,"Dr. William Lee, MD","Phoenix TMS Center",AZ,dicebear
dr-christopher-wong-phoenix,"Dr. Christopher Wong, MD","Phoenix TMS Center",AZ,dicebear
dr-lisa-johnson-phoenix,"Dr. Lisa Johnson, MD","Phoenix TMS Center",AZ,dicebear
dr-sarah-thomas-phoenix,"Dr. Sarah Thomas, MD","Phoenix Mental Health & TMS",AZ,dicebear
dr-maria-wilson-phoenix,"Dr. Maria Wilson, MD","Phoenix Mental Health & TMS",AZ,dicebear
dr-jennifer-garcia-phoenix,"Dr. Jennifer Garcia, MD","Phoenix Mental Health & TMS",AZ,dicebear
dr-ashley-moore-phoenix,"Dr. Ashley Moore, MD","Phoenix Depression Treatment Center",AZ,dicebear
dr-jessica-thomas-phoenix,"Dr. Jessica Thomas, MD","Phoenix Depression Treatment Center",AZ,dicebear
dr-william-martinez-tucson,"Dr. William Martinez, MD","Tucson TMS Center",AZ,dicebear
dr-emily-garcia-tucson,"Dr. Emily Garcia, MD","Tucson Mental Health & TMS",AZ,dicebear
dr-lisa-martinez-mesa,"Dr. Lisa Martinez, MD","Mesa TMS Center",AZ,dicebear
dr-emily-patel-mesa,"Dr. Emily Patel, MD","Mesa TMS Center",AZ,dicebear
dr-alan-anderson-mesa,"Dr. Alan Anderson, MD","Mesa TMS Center",AZ,dicebear
dr-emily-brown-mesa,"Dr. Emily Brown, MD","Mesa Mental Health & TMS",AZ,dicebear
dr-lisa-anderson-mesa,"Dr. Lisa Anderson, MD","Mesa Depression Treatment Center",AZ,dicebear
dr-ashley-brown-mesa,"Dr. Ashley Brown, MD","Mesa Depression Treatment Center",AZ,dicebear
dr-robert-lee-mesa,"Dr. Robert Lee, MD","Mesa Depression Treatment Center",AZ,dicebear
dr-james-wong-mesa,"Dr. James Wong, MD","Dr. Wong Private Practice",AZ,dicebear
dr-daniel-martinez-chandler,"Dr. Daniel Martinez, MD","Chandler TMS Center",AZ,dicebear
dr-emily-lee-chandler,"Dr. Emily Lee, MD","Chandler TMS Center",AZ,dicebear
dr-jessica-anderson-chandler,"Dr. Jessica Anderson, MD","Chandler TMS Center",AZ,dicebear
dr-ashley-brown-chandler,"Dr. Ashley Brown, MD","Chandler Mental Health & TMS",AZ,dicebear
dr-jennifer-thomas-gilbert,"Dr. Jennifer Thomas, MD","Gilbert TMS Center",AZ,dicebear
dr-james-davis-gilbert,"Dr. James Davis, MD","Gilbert TMS Center",AZ,dicebear
dr-ashley-johnson-gilbert,"Dr. Ashley Johnson, MD","Gilbert TMS Center",AZ,dicebear
dr-jennifer-thomas-gilbert,"Dr. Jennifer Thomas, MD","Gilbert Mental Health & TMS",AZ,dicebear
dr-jennifer-anderson-gilbert,"Dr. Jennifer Anderson, MD","Gilbert Mental Health & TMS",AZ,dicebear
dr-christopher-taylor-gilbert,"Dr. Christopher Taylor, MD","Gilbert Depression Treatment Center",AZ,dicebear
dr-maria-garcia-gilbert,"Dr. Maria Garcia, MD","Gilbert Depression Treatment Center",AZ,dicebear
dr-james-wilson-gilbert,"Dr. James Wilson, MD","Gilbert Depression Treatment Center",AZ,dicebear
dr-david-wilson-little-rock,"Dr. David Wilson, MD","Little Rock TMS Center",AR,dicebear
dr-lisa-kim-little-rock,"Dr. Lisa Kim, MD","Little Rock TMS Center",AR,dicebear
dr-christopher-patel-little-rock,"Dr. Christopher Patel, MD","Little Rock Mental Health & TMS",AR,dicebear
dr-alan-jackson-little-rock,"Dr. Alan Jackson, MD","Little Rock Mental Health & TMS",AR,dicebear
dr-sarah-anderson-little-rock,"Dr. Sarah Anderson, MD","Little Rock Depression Treatment Center",AR,dicebear
dr-james-smith-little-rock,"Dr. James Smith, MD","Little Rock Depression Treatment Center",AR,dicebear
dr-jennifer-garcia-little-rock,"Dr. Jennifer Garcia, MD","Dr. Garcia Private Practice",AR,dicebear
dr-alan-moore-fayetteville,"Dr. Alan Moore, MD","Fayetteville TMS Center",AR,dicebear
dr-lisa-smith-fayetteville,"Dr. Lisa Smith, MD","Fayetteville Mental Health & TMS",AR,dicebear
dr-emily-martinez-fayetteville,"Dr. Emily Martinez, MD","Fayetteville Depression Treatment Center",AR,dicebear
dr-jennifer-patel-fayetteville,"Dr. Jennifer Patel, MD","Fayetteville Depression Treatment Center",AR,dicebear
dr-alan-jackson-fayetteville,"Dr. Alan Jackson, MD","Dr. Jackson Private Practice",AR,dicebear
dr-sarah-garcia-fayetteville,"Dr. Sarah Garcia, MD","Dr. Jackson Private Practice",AR,dicebear
dr-maria-anderson-fort-smith,"Dr. Maria Anderson, MD","Fort Smith TMS Center",AR,dicebear
dr-lisa-thomas-fort-smith,"Dr. Lisa Thomas, MD","Fort Smith TMS Center",AR,dicebear
dr-christopher-patel-fort-smith,"Dr. Christopher Patel, MD","Fort Smith TMS Center",AR,dicebear
dr-daniel-moore-fort-smith,"Dr. Daniel Moore, MD","Fort Smith Mental Health & TMS",AR,dicebear
dr-sarah-martinez-fort-smith,"Dr. Sarah Martinez, MD","Fort Smith Mental Health & TMS",AR,dicebear
dr-jessica-patel-springdale,"Dr. Jessica Patel, MD","Springdale TMS Center",AR,dicebear
dr-maria-kim-springdale,"Dr. Maria Kim, MD","Springdale Mental Health & TMS",AR,dicebear
dr-michael-wilson-springdale,"Dr. Michael Wilson, MD","Springdale Mental Health & TMS",AR,dicebear
dr-christopher-brown-springdale,"Dr. Christopher Brown, MD","Springdale Depression Treatment Center",AR,dicebear
dr-ashley-wong-springdale,"Dr. Ashley Wong, MD","Springdale Depression Treatment Center",AR,dicebear
dr-christopher-thomas-springdale,"Dr. Christopher Thomas, MD","Springdale Depression Treatment Center",AR,dicebear
dr-jennifer-thomas-jonesboro,"Dr. Jennifer Thomas, MD","Jonesboro TMS Center",AR,dicebear
dr-alan-johnson-jonesboro,"Dr. Alan Johnson, MD","Jonesboro TMS Center",AR,dicebear
dr-jennifer-moore-jonesboro,"Dr. Jennifer Moore, MD","Jonesboro Mental Health & TMS",AR,dicebear
dr-emily-wilson-jonesboro,"Dr. Emily Wilson, MD","Jonesboro Mental Health & TMS",AR,dicebear
dr-lisa-lee-jonesboro,"Dr. Lisa Lee, MD","Jonesboro Mental Health & TMS",AR,dicebear
dr-sarah-johnson-jonesboro,"Dr. Sarah Johnson, MD","Jonesboro Depression Treatment Center",AR,dicebear
dr-elizabeth-martinez-los-angeles,"Dr. Elizabeth Martinez, MD","Los Angeles TMS Center",CA,dicebear
dr-daniel-thomas-los-angeles,"Dr. Daniel Thomas, MD","Los Angeles TMS Center",CA,dicebear
dr-michael-thomas-los-angeles,"Dr. Michael Thomas, MD","Los Angeles TMS Center",CA,dicebear
dr-emily-brown-los-angeles,"Dr. Emily Brown, MD","Los Angeles Mental Health & TMS",CA,dicebear
dr-james-davis-los-angeles,"Dr. James Davis, MD","Los Angeles Mental Health & TMS",CA,dicebear
dr-elizabeth-anderson-los-angeles,"Dr. Elizabeth Anderson, MD","Los Angeles Mental Health & TMS",CA,dicebear
dr-sarah-lee-los-angeles,"Dr. Sarah Lee, MD","Los Angeles Depression Treatment Center",CA,dicebear
dr-james-johnson-san-diego,"Dr. James Johnson, MD","San Diego TMS Center",CA,dicebear
dr-william-garcia-san-diego,"Dr. William Garcia, MD","San Diego Mental Health & TMS",CA,dicebear
dr-christopher-wilson-san-diego,"Dr. Christopher Wilson, MD","San Diego Depression Treatment Center",CA,dicebear
dr-robert-wilson-san-jose,"Dr. Robert Wilson, MD","San Jose TMS Center",CA,dicebear
dr-christopher-anderson-san-jose,"Dr. Christopher Anderson, MD","San Jose TMS Center",CA,dicebear
dr-christopher-johnson-san-jose,"Dr. Christopher Johnson, MD","San Jose Mental Health & TMS",CA,dicebear
dr-jessica-taylor-san-jose,"Dr. Jessica Taylor, MD","San Jose Mental Health & TMS",CA,dicebear
dr-ashley-taylor-san-jose,"Dr. Ashley Taylor, MD","San Jose Depression Treatment Center",CA,dicebear
dr-daniel-kim-san-jose,"Dr. Daniel Kim, MD","San Jose Depression Treatment Center",CA,dicebear
dr-william-johnson-san-jose,"Dr. William Johnson, MD","San Jose Depression Treatment Center",CA,dicebear
dr-lisa-davis-san-francisco,"Dr. Lisa Davis, MD","San Francisco TMS Center",CA,dicebear
dr-maria-wilson-san-francisco,"Dr. Maria Wilson, MD","San Francisco Mental Health & TMS",CA,dicebear
dr-christopher-wilson-san-francisco,"Dr. Christopher Wilson, MD","San Francisco Depression Treatment Center",CA,dicebear
dr-sarah-brown-san-francisco,"Dr. Sarah Brown, MD","San Francisco Depression Treatment Center",CA,dicebear
dr-alan-smith-san-francisco,"Dr. Alan Smith, MD","San Francisco Depression Treatment Center",CA,dicebear
dr-robert-garcia-san-francisco,"Dr. Robert Garcia, MD","Dr. Garcia Private Practice",CA,dicebear
dr-ashley-jackson-san-francisco,"Dr. Ashley Jackson, MD","Dr. Garcia Private Practice",CA,dicebear
dr-robert-anderson-fresno,"Dr. Robert Anderson, MD","Fresno TMS Center",CA,dicebear
dr-jessica-smith-fresno,"Dr. Jessica Smith, MD","Fresno Mental Health & TMS",CA,dicebear
dr-elizabeth-wilson-fresno,"Dr. Elizabeth Wilson, MD","Fresno Mental Health & TMS",CA,dicebear
dr-william-taylor-fresno,"Dr. William Taylor, MD","Fresno Depression Treatment Center",CA,dicebear
dr-jennifer-anderson-fresno,"Dr. Jennifer Anderson, MD","Dr. Anderson Private Practice",CA,dicebear
dr-james-taylor-fresno,"Dr. James Taylor, MD","Dr. Anderson Private Practice",CA,dicebear
dr-lisa-kim-denver,"Dr. Lisa Kim, MD","Denver TMS Center",CO,dicebear
dr-daniel-thomas-denver,"Dr. Daniel Thomas, MD","Denver TMS Center",CO,dicebear
dr-sarah-moore-denver,"Dr. Sarah Moore, MD","Denver TMS Center",CO,dicebear
dr-daniel-smith-denver,"Dr. Daniel Smith, MD","Denver Mental Health & TMS",CO,dicebear
dr-sarah-patel-denver,"Dr. Sarah Patel, MD","Denver Mental Health & TMS",CO,dicebear
dr-jessica-patel-denver,"Dr. Jessica Patel, MD","Denver Depression Treatment Center",CO,dicebear
dr-christopher-jackson-colorado-springs,"Dr. Christopher Jackson, MD","Colorado Springs TMS Center",CO,dicebear
dr-elizabeth-jackson-colorado-springs,"Dr. Elizabeth Jackson, MD","Colorado Springs Mental Health & TMS",CO,dicebear
dr-elizabeth-thomas-colorado-springs,"Dr. Elizabeth Thomas, MD","Colorado Springs Mental Health & TMS",CO,dicebear
dr-elizabeth-wilson-colorado-springs,"Dr. Elizabeth Wilson, MD","Colorado Springs Mental Health & TMS",CO,dicebear
dr-michael-lee-colorado-springs,"Dr. Michael Lee, MD","Colorado Springs Depression Treatment Center",CO,dicebear
dr-christopher-anderson-colorado-springs,"Dr. Christopher Anderson, MD","Colorado Springs Depression Treatment Center",CO,dicebear
dr-lisa-smith-colorado-springs,"Dr. Lisa Smith, MD","Colorado Springs Depression Treatment Center",CO,dicebear
dr-sarah-moore-aurora,"Dr. Sarah Moore, MD","Aurora TMS Center",CO,dicebear
dr-alan-moore-aurora,"Dr. Alan Moore, MD","Aurora TMS Center",CO,dicebear
dr-sarah-thomas-aurora,"Dr. Sarah Thomas, MD","Aurora TMS Center",CO,dicebear
dr-david-anderson-aurora,"Dr. David Anderson, MD","Aurora Mental Health & TMS",CO,dicebear
dr-emily-brown-aurora,"Dr. Emily Brown, MD","Aurora Mental Health & TMS",CO,dicebear
dr-elizabeth-thomas-aurora,"Dr. Elizabeth Thomas, MD","Aurora Mental Health & TMS",CO,dicebear
dr-christopher-taylor-aurora,"Dr. Christopher Taylor, MD","Aurora Depression Treatment Center",CO,dicebear
dr-jessica-taylor-fort-collins,"Dr. Jessica Taylor, MD","Fort Collins TMS Center",CO,dicebear
dr-maria-garcia-fort-collins,"Dr. Maria Garcia, MD","Fort Collins TMS Center",CO,dicebear
dr-daniel-garcia-fort-collins,"Dr. Daniel Garcia, MD","Fort Collins TMS Center",CO,dicebear
dr-jessica-jackson-fort-collins,"Dr. Jessica Jackson, MD","Fort Collins Mental Health & TMS",CO,dicebear
dr-christopher-taylor-fort-collins,"Dr. Christopher Taylor, MD","Fort Collins Depression Treatment Center",CO,dicebear
dr-jennifer-kim-fort-collins,"Dr. Jennifer Kim, MD","Fort Collins Depression Treatment Center",CO,dicebear
dr-jennifer-kim-fort-collins,"Dr. Jennifer Kim, MD","Dr. Kim Private Practice",CO,dicebear
dr-christopher-garcia-fort-collins,"Dr. Christopher Garcia, MD","Dr. Kim Private Practice",CO,dicebear
dr-william-wong-lakewood,"Dr. William Wong, MD","Lakewood TMS Center",CO,dicebear
dr-maria-garcia-lakewood,"Dr. Maria Garcia, MD","Lakewood TMS Center",CO,dicebear
dr-alan-martinez-lakewood,"Dr. Alan Martinez, MD","Lakewood Mental Health & TMS",CO,dicebear
dr-jennifer-anderson-lakewood,"Dr. Jennifer Anderson, MD","Lakewood Mental Health & TMS",CO,dicebear
dr-jessica-anderson-lakewood,"Dr. Jessica Anderson, MD","Lakewood Depression Treatment Center",CO,dicebear
dr-sarah-anderson-lakewood,"Dr. Sarah Anderson, MD","Lakewood Depression Treatment Center",CO,dicebear
dr-alan-taylor-lakewood,"Dr. Alan Taylor, MD","Lakewood Depression Treatment Center",CO,dicebear
dr-daniel-wong-lakewood,"Dr. Daniel Wong, MD","Dr. Wong Private Practice",CO,dicebear
dr-christopher-brown-bridgeport,"Dr. Christopher Brown, MD","Bridgeport TMS Center",CT,dicebear
dr-william-johnson-bridgeport,"Dr. William Johnson, MD","Bridgeport TMS Center",CT,dicebear
dr-sarah-jackson-bridgeport,"Dr. Sarah Jackson, MD","Bridgeport TMS Center",CT,dicebear
dr-jennifer-taylor-bridgeport,"Dr. Jennifer Taylor, MD","Bridgeport Mental Health & TMS",CT,dicebear
dr-christopher-davis-bridgeport,"Dr. Christopher Davis, MD","Bridgeport Mental Health & TMS",CT,dicebear
dr-jessica-martinez-bridgeport,"Dr. Jessica Martinez, MD","Bridgeport Depression Treatment Center",CT,dicebear
dr-daniel-kim-bridgeport,"Dr. Daniel Kim, MD","Bridgeport Depression Treatment Center",CT,dicebear
dr-maria-wong-bridgeport,"Dr. Maria Wong, MD","Dr. Wong Private Practice",CT,dicebear
dr-robert-johnson-stamford,"Dr. Robert Johnson, MD","Stamford TMS Center",CT,dicebear
dr-david-lee-stamford,"Dr. David Lee, MD","Stamford TMS Center",CT,dicebear
dr-jessica-wilson-stamford,"Dr. Jessica Wilson, MD","Stamford TMS Center",CT,dicebear
dr-christopher-taylor-stamford,"Dr. Christopher Taylor, MD","Stamford Mental Health & TMS",CT,dicebear
dr-emily-davis-stamford,"Dr. Emily Davis, MD","Stamford Mental Health & TMS",CT,dicebear
dr-emily-wilson-stamford,"Dr. Emily Wilson, MD","Stamford Mental Health & TMS",CT,dicebear
dr-david-thomas-stamford,"Dr. David Thomas, MD","Stamford Depression Treatment Center",CT,dicebear
dr-michael-moore-stamford,"Dr. Michael Moore, MD","Dr. Moore Private Practice",CT,dicebear
dr-michael-davis-stamford,"Dr. Michael Davis, MD","Dr. Moore Private Practice",CT,dicebear
dr-david-moore-new-haven,"Dr. David Moore, MD","New Haven TMS Center",CT,dicebear
dr-sarah-garcia-new-haven,"Dr. Sarah Garcia, MD","New Haven TMS Center",CT,dicebear
dr-jennifer-lee-new-haven,"Dr. Jennifer Lee, MD","New Haven Mental Health & TMS",CT,dicebear
dr-jessica-martinez-new-haven,"Dr. Jessica Martinez, MD","New Haven Mental Health & TMS",CT,dicebear
dr-christopher-kim-new-haven,"Dr. Christopher Kim, MD","New Haven Mental Health & TMS",CT,dicebear
dr-maria-smith-new-haven,"Dr. Maria Smith, MD","New Haven Depression Treatment Center",CT,dicebear
dr-christopher-moore-new-haven,"Dr. Christopher Moore, MD","New Haven Depression Treatment Center",CT,dicebear
dr-sarah-lee-new-haven,"Dr. Sarah Lee, MD","Dr. Lee Private Practice",CT,dicebear
dr-emily-garcia-new-haven,"Dr. Emily Garcia, MD","Dr. Lee Private Practice",CT,dicebear
dr-elizabeth-taylor-new-haven,"Dr. Elizabeth Taylor, MD","Dr. Lee Private Practice",CT,dicebear
dr-robert-anderson-hartford,"Dr. Robert Anderson, MD","Hartford TMS Center",CT,dicebear
dr-ashley-davis-hartford,"Dr. Ashley Davis, MD","Hartford TMS Center",CT,dicebear
dr-michael-anderson-hartford,"Dr. Michael Anderson, MD","Hartford TMS Center",CT,dicebear
dr-maria-jackson-hartford,"Dr. Maria Jackson, MD","Hartford Mental Health & TMS",CT,dicebear
dr-emily-thomas-hartford,"Dr. Emily Thomas, MD","Hartford Mental Health & TMS",CT,dicebear
dr-daniel-moore-hartford,"Dr. Daniel Moore, MD","Hartford Mental Health & TMS",CT,dicebear
dr-ashley-anderson-hartford,"Dr. Ashley Anderson, MD","Hartford Depression Treatment Center",CT,dicebear
dr-elizabeth-patel-waterbury,"Dr. Elizabeth Patel, MD","Waterbury TMS Center",CT,dicebear
dr-sarah-thomas-waterbury,"Dr. Sarah Thomas, MD","Waterbury TMS Center",CT,dicebear
dr-michael-taylor-waterbury,"Dr. Michael Taylor, MD","Waterbury Mental Health & TMS",CT,dicebear
dr-ashley-moore-waterbury,"Dr. Ashley Moore, MD","Waterbury Mental Health & TMS",CT,dicebear
dr-michael-johnson-waterbury,"Dr. Michael Johnson, MD","Waterbury Depression Treatment Center",CT,dicebear
dr-elizabeth-johnson-waterbury,"Dr. Elizabeth Johnson, MD","Waterbury Depression Treatment Center",CT,dicebear
dr-daniel-jackson-waterbury,"Dr. Daniel Jackson, MD","Dr. Jackson Private Practice",CT,dicebear
dr-robert-wong-wilmington,"Dr. Robert Wong, MD","Wilmington TMS Center",DE,dicebear
dr-robert-johnson-wilmington,"Dr. Robert Johnson, MD","Wilmington TMS Center",DE,dicebear
dr-william-johnson-wilmington,"Dr. William Johnson, MD","Wilmington TMS Center",DE,dicebear
dr-maria-thomas-wilmington,"Dr. Maria Thomas, MD","Wilmington Mental Health & TMS",DE,dicebear
dr-david-johnson-wilmington,"Dr. David Johnson, MD","Wilmington Mental Health & TMS",DE,dicebear
dr-william-jackson-wilmington,"Dr. William Jackson, MD","Wilmington Mental Health & TMS",DE,dicebear
dr-james-kim-wilmington,"Dr. James Kim, MD","Wilmington Depression Treatment Center",DE,dicebear
dr-william-smith-wilmington,"Dr. William Smith, MD","Wilmington Depression Treatment Center",DE,dicebear
dr-william-wilson-dover,"Dr. William Wilson, MD","Dover TMS Center",DE,dicebear
dr-michael-brown-dover,"Dr. Michael Brown, MD","Dover TMS Center",DE,dicebear
dr-daniel-davis-dover,"Dr. Daniel Davis, MD","Dover TMS Center",DE,dicebear
dr-emily-lee-dover,"Dr. Emily Lee, MD","Dover Mental Health & TMS",DE,dicebear
dr-lisa-davis-dover,"Dr. Lisa Davis, MD","Dover Mental Health & TMS",DE,dicebear
dr-maria-lee-dover,"Dr. Maria Lee, MD","Dover Depression Treatment Center",DE,dicebear
dr-ashley-wilson-dover,"Dr. Ashley Wilson, MD","Dr. Wilson Private Practice",DE,dicebear
dr-jessica-davis-dover,"Dr. Jessica Davis, MD","Dr. Wilson Private Practice",DE,dicebear
dr-elizabeth-kim-dover,"Dr. Elizabeth Kim, MD","Dr. Wilson Private Practice",DE,dicebear
dr-lisa-johnson-newark,"Dr. Lisa Johnson, MD","Newark TMS Center",DE,dicebear
dr-maria-smith-newark,"Dr. Maria Smith, MD","Newark TMS Center",DE,dicebear
dr-william-martinez-newark,"Dr. William Martinez, MD","Newark Mental Health & TMS",DE,dicebear
dr-sarah-smith-newark,"Dr. Sarah Smith, MD","Newark Depression Treatment Center",DE,dicebear
dr-maria-moore-newark,"Dr. Maria Moore, MD","Newark Depression Treatment Center",DE,dicebear
dr-daniel-taylor-middletown,"Dr. Daniel Taylor, MD","Middletown TMS Center",DE,dicebear
