slug,name,city,state,current_hero
gilbert-mental-health-&-tms-gilbert,"Gilbert Mental Health & TMS","Gilbert",AZ,placeholder
gilbert-depression-treatment-center-gilbert,"Gilbert Depression Treatment Center","Gilbert",AZ,placeholder
little-rock-tms-center-little-rock,"Little Rock TMS Center","Little Rock",AR,placeholder
little-rock-mental-health-&-tms-little-rock,"Little Rock Mental Health & TMS","Little Rock",AR,placeholder
little-rock-depression-treatment-center-little-rock,"Little Rock Depression Treatment Center","Little Rock",AR,placeholder
dr-garcia-private-practice-little-rock,"Dr. Garcia Private Practice","Little Rock",AR,placeholder
fayetteville-tms-center-fayetteville,"Fayetteville TMS Center","Fayetteville",AR,placeholder
fayetteville-mental-health-&-tms-fayetteville,"Fayetteville Mental Health & TMS","Fayetteville",AR,placeholder
fayetteville-depression-treatment-center-fayetteville,"Fayetteville Depression Treatment Center","Fayetteville",AR,placeholder
dr-jackson-private-practice-fayetteville,"Dr. Jackson Private Practice","Fayetteville",AR,placeholder
fort-smith-tms-center-fort-smith,"Fort Smith TMS Center","Fort Smith",AR,placeholder
fort-smith-mental-health-&-tms-fort-smith,"Fort Smith Mental Health & TMS","Fort Smith",AR,placeholder
springdale-tms-center-springdale,"Springdale TMS Center","Springdale",AR,placeholder
springdale-mental-health-&-tms-springdale,"Springdale Mental Health & TMS","Springdale",AR,placeholder
springdale-depression-treatment-center-springdale,"Springdale Depression Treatment Center","Springdale",AR,placeholder
jonesboro-tms-center-jonesboro,"Jonesboro TMS Center","Jonesboro",AR,placeholder
jonesboro-mental-health-&-tms-jonesboro,"Jonesboro Mental Health & TMS","Jonesboro",AR,placeholder
jonesboro-depression-treatment-center-jonesboro,"Jonesboro Depression Treatment Center","Jonesboro",AR,placeholder
los-angeles-tms-center-los-angeles,"Los Angeles TMS Center","Los Angeles",CA,placeholder
los-angeles-mental-health-&-tms-los-angeles,"Los Angeles Mental Health & TMS","Los Angeles",CA,placeholder
los-angeles-depression-treatment-center-los-angeles,"Los Angeles Depression Treatment Center","Los Angeles",CA,placeholder
san-diego-tms-center-san-diego,"San Diego TMS Center","San Diego",CA,placeholder
san-diego-mental-health-&-tms-san-diego,"San Diego Mental Health & TMS","San Diego",CA,placeholder
san-diego-depression-treatment-center-san-diego,"San Diego Depression Treatment Center","San Diego",CA,placeholder
san-jose-tms-center-san-jose,"San Jose TMS Center","San Jose",CA,placeholder
san-jose-mental-health-&-tms-san-jose,"San Jose Mental Health & TMS","San Jose",CA,placeholder
san-jose-depression-treatment-center-san-jose,"San Jose Depression Treatment Center","San Jose",CA,placeholder
san-francisco-tms-center-san-francisco,"San Francisco TMS Center","San Francisco",CA,placeholder
san-francisco-mental-health-&-tms-san-francisco,"San Francisco Mental Health & TMS","San Francisco",CA,placeholder
san-francisco-depression-treatment-center-san-francisco,"San Francisco Depression Treatment Center","San Francisco",CA,placeholder
dr-garcia-private-practice-san-francisco,"Dr. Garcia Private Practice","San Francisco",CA,placeholder
fresno-tms-center-fresno,"Fresno TMS Center","Fresno",CA,placeholder
fresno-mental-health-&-tms-fresno,"Fresno Mental Health & TMS","Fresno",CA,placeholder
fresno-depression-treatment-center-fresno,"Fresno Depression Treatment Center","Fresno",CA,placeholder
dr-anderson-private-practice-fresno,"Dr. Anderson Private Practice","Fresno",CA,placeholder
denver-tms-center-denver,"Denver TMS Center","Denver",CO,placeholder
denver-mental-health-&-tms-denver,"Denver Mental Health & TMS","Denver",CO,placeholder
denver-depression-treatment-center-denver,"Denver Depression Treatment Center","Denver",CO,placeholder
colorado-springs-tms-center-colorado-springs,"Colorado Springs TMS Center","Colorado Springs",CO,placeholder
colorado-springs-mental-health-&-tms-colorado-springs,"Colorado Springs Mental Health & TMS","Colorado Springs",CO,placeholder
colorado-springs-depression-treatment-center-colorado-springs,"Colorado Springs Depression Treatment Center","Colorado Springs",CO,placeholder
aurora-tms-center-aurora,"Aurora TMS Center","Aurora",CO,placeholder
aurora-mental-health-&-tms-aurora,"Aurora Mental Health & TMS","Aurora",CO,placeholder
aurora-depression-treatment-center-aurora,"Aurora Depression Treatment Center","Aurora",CO,placeholder
fort-collins-tms-center-fort-collins,"Fort Collins TMS Center","Fort Collins",CO,placeholder
fort-collins-mental-health-&-tms-fort-collins,"Fort Collins Mental Health & TMS","Fort Collins",CO,placeholder
fort-collins-depression-treatment-center-fort-collins,"Fort Collins Depression Treatment Center","Fort Collins",CO,placeholder
dr-kim-private-practice-fort-collins,"Dr. Kim Private Practice","Fort Collins",CO,placeholder
lakewood-tms-center-lakewood,"Lakewood TMS Center","Lakewood",CO,placeholder
lakewood-mental-health-&-tms-lakewood,"Lakewood Mental Health & TMS","Lakewood",CO,placeholder
lakewood-depression-treatment-center-lakewood,"Lakewood Depression Treatment Center","Lakewood",CO,placeholder
dr-wong-private-practice-lakewood,"Dr. Wong Private Practice","Lakewood",CO,placeholder
bridgeport-tms-center-bridgeport,"Bridgeport TMS Center","Bridgeport",CT,placeholder
bridgeport-mental-health-&-tms-bridgeport,"Bridgeport Mental Health & TMS","Bridgeport",CT,placeholder
bridgeport-depression-treatment-center-bridgeport,"Bridgeport Depression Treatment Center","Bridgeport",CT,placeholder
dr-wong-private-practice-bridgeport,"Dr. Wong Private Practice","Bridgeport",CT,placeholder
stamford-tms-center-stamford,"Stamford TMS Center","Stamford",CT,placeholder
stamford-mental-health-&-tms-stamford,"Stamford Mental Health & TMS","Stamford",CT,placeholder
stamford-depression-treatment-center-stamford,"Stamford Depression Treatment Center","Stamford",CT,placeholder
dr-moore-private-practice-stamford,"Dr. Moore Private Practice","Stamford",CT,placeholder
new-haven-tms-center-new-haven,"New Haven TMS Center","New Haven",CT,placeholder
new-haven-mental-health-&-tms-new-haven,"New Haven Mental Health & TMS","New Haven",CT,placeholder
new-haven-depression-treatment-center-new-haven,"New Haven Depression Treatment Center","New Haven",CT,placeholder
dr-lee-private-practice-new-haven,"Dr. Lee Private Practice","New Haven",CT,placeholder
hartford-tms-center-hartford,"Hartford TMS Center","Hartford",CT,placeholder
hartford-mental-health-&-tms-hartford,"Hartford Mental Health & TMS","Hartford",CT,placeholder
hartford-depression-treatment-center-hartford,"Hartford Depression Treatment Center","Hartford",CT,placeholder
waterbury-tms-center-waterbury,"Waterbury TMS Center","Waterbury",CT,placeholder
waterbury-mental-health-&-tms-waterbury,"Waterbury Mental Health & TMS","Waterbury",CT,placeholder
waterbury-depression-treatment-center-waterbury,"Waterbury Depression Treatment Center","Waterbury",CT,placeholder
dr-jackson-private-practice-waterbury,"Dr. Jackson Private Practice","Waterbury",CT,placeholder
wilmington-tms-center-wilmington,"Wilmington TMS Center","Wilmington",DE,placeholder
wilmington-mental-health-&-tms-wilmington,"Wilmington Mental Health & TMS","Wilmington",DE,placeholder
wilmington-depression-treatment-center-wilmington,"Wilmington Depression Treatment Center","Wilmington",DE,placeholder
dover-tms-center-dover,"Dover TMS Center","Dover",DE,placeholder
dover-mental-health-&-tms-dover,"Dover Mental Health & TMS","Dover",DE,placeholder
dover-depression-treatment-center-dover,"Dover Depression Treatment Center","Dover",DE,placeholder
dr-wilson-private-practice-dover,"Dr. Wilson Private Practice","Dover",DE,placeholder
newark-tms-center-newark,"Newark TMS Center","Newark",DE,placeholder
newark-mental-health-&-tms-newark,"Newark Mental Health & TMS","Newark",DE,placeholder
newark-depression-treatment-center-newark,"Newark Depression Treatment Center","Newark",DE,placeholder
middletown-tms-center-middletown,"Middletown TMS Center","Middletown",DE,placeholder
middletown-mental-health-&-tms-middletown,"Middletown Mental Health & TMS","Middletown",DE,placeholder
bear-tms-center-bear,"Bear TMS Center","Bear",DE,placeholder
bear-mental-health-&-tms-bear,"Bear Mental Health & TMS","Bear",DE,placeholder
bear-depression-treatment-center-bear,"Bear Depression Treatment Center","Bear",DE,placeholder
dr-smith-private-practice-bear,"Dr. Smith Private Practice","Bear",DE,placeholder
jacksonville-tms-center-jacksonville,"Jacksonville TMS Center","Jacksonville",FL,placeholder
jacksonville-mental-health-&-tms-jacksonville,"Jacksonville Mental Health & TMS","Jacksonville",FL,placeholder
jacksonville-depression-treatment-center-jacksonville,"Jacksonville Depression Treatment Center","Jacksonville",FL,placeholder
dr-thomas-private-practice-jacksonville,"Dr. Thomas Private Practice","Jacksonville",FL,placeholder
miami-tms-center-miami,"Miami TMS Center","Miami",FL,placeholder
miami-mental-health-&-tms-miami,"Miami Mental Health & TMS","Miami",FL,placeholder
miami-depression-treatment-center-miami,"Miami Depression Treatment Center","Miami",FL,placeholder
dr-kim-private-practice-miami,"Dr. Kim Private Practice","Miami",FL,placeholder
tampa-tms-center-tampa,"Tampa TMS Center","Tampa",FL,placeholder
tampa-mental-health-&-tms-tampa,"Tampa Mental Health & TMS","Tampa",FL,placeholder
tampa-depression-treatment-center-tampa,"Tampa Depression Treatment Center","Tampa",FL,placeholder
orlando-tms-center-orlando,"Orlando TMS Center","Orlando",FL,placeholder
orlando-mental-health-&-tms-orlando,"Orlando Mental Health & TMS","Orlando",FL,placeholder
orlando-depression-treatment-center-orlando,"Orlando Depression Treatment Center","Orlando",FL,placeholder
dr-garcia-private-practice-orlando,"Dr. Garcia Private Practice","Orlando",FL,placeholder
st-petersburg-tms-center-st-petersburg,"St. Petersburg TMS Center","St. Petersburg",FL,placeholder
st-petersburg-mental-health-&-tms-st-petersburg,"St. Petersburg Mental Health & TMS","St. Petersburg",FL,placeholder
st-petersburg-depression-treatment-center-st-petersburg,"St. Petersburg Depression Treatment Center","St. Petersburg",FL,placeholder
dr-wong-private-practice-st-petersburg,"Dr. Wong Private Practice","St. Petersburg",FL,placeholder
atlanta-tms-center-atlanta,"Atlanta TMS Center","Atlanta",GA,placeholder
atlanta-mental-health-&-tms-atlanta,"Atlanta Mental Health & TMS","Atlanta",GA,placeholder
atlanta-depression-treatment-center-atlanta,"Atlanta Depression Treatment Center","Atlanta",GA,placeholder
augusta-tms-center-augusta,"Augusta TMS Center","Augusta",GA,placeholder
augusta-mental-health-&-tms-augusta,"Augusta Mental Health & TMS","Augusta",GA,placeholder
augusta-depression-treatment-center-augusta,"Augusta Depression Treatment Center","Augusta",GA,placeholder
dr-jackson-private-practice-augusta,"Dr. Jackson Private Practice","Augusta",GA,placeholder
columbus-tms-center-columbus,"Columbus TMS Center","Columbus",GA,placeholder
columbus-mental-health-&-tms-columbus,"Columbus Mental Health & TMS","Columbus",GA,placeholder
columbus-depression-treatment-center-columbus,"Columbus Depression Treatment Center","Columbus",GA,placeholder
dr-jackson-private-practice-columbus,"Dr. Jackson Private Practice","Columbus",GA,placeholder
macon-tms-center-macon,"Macon TMS Center","Macon",GA,placeholder
macon-mental-health-&-tms-macon,"Macon Mental Health & TMS","Macon",GA,placeholder
macon-depression-treatment-center-macon,"Macon Depression Treatment Center","Macon",GA,placeholder
dr-lee-private-practice-macon,"Dr. Lee Private Practice","Macon",GA,placeholder
savannah-tms-center-savannah,"Savannah TMS Center","Savannah",GA,placeholder
savannah-mental-health-&-tms-savannah,"Savannah Mental Health & TMS","Savannah",GA,placeholder
savannah-depression-treatment-center-savannah,"Savannah Depression Treatment Center","Savannah",GA,placeholder
honolulu-tms-center-honolulu,"Honolulu TMS Center","Honolulu",HI,placeholder
honolulu-mental-health-&-tms-honolulu,"Honolulu Mental Health & TMS","Honolulu",HI,custom
honolulu-depression-treatment-center-honolulu,"Honolulu Depression Treatment Center","Honolulu",HI,placeholder
dr-taylor-private-practice-honolulu,"Dr. Taylor Private Practice","Honolulu",HI,placeholder
east-honolulu-tms-center-east-honolulu,"East Honolulu TMS Center","East Honolulu",HI,placeholder
east-honolulu-mental-health-&-tms-east-honolulu,"East Honolulu Mental Health & TMS","East Honolulu",HI,placeholder
pearl-city-tms-center-pearl-city,"Pearl City TMS Center","Pearl City",HI,placeholder
pearl-city-mental-health-&-tms-pearl-city,"Pearl City Mental Health & TMS","Pearl City",HI,placeholder
pearl-city-depression-treatment-center-pearl-city,"Pearl City Depression Treatment Center","Pearl City",HI,placeholder
dr-jackson-private-practice-pearl-city,"Dr. Jackson Private Practice","Pearl City",HI,placeholder
hilo-tms-center-hilo,"Hilo TMS Center","Hilo",HI,placeholder
hilo-mental-health-&-tms-hilo,"Hilo Mental Health & TMS","Hilo",HI,placeholder
hilo-depression-treatment-center-hilo,"Hilo Depression Treatment Center","Hilo",HI,placeholder
dr-jackson-private-practice-hilo,"Dr. Jackson Private Practice","Hilo",HI,placeholder
waipahu-tms-center-waipahu,"Waipahu TMS Center","Waipahu",HI,placeholder
waipahu-mental-health-&-tms-waipahu,"Waipahu Mental Health & TMS","Waipahu",HI,placeholder
boise-tms-center-boise,"Boise TMS Center","Boise",ID,placeholder
boise-mental-health-&-tms-boise,"Boise Mental Health & TMS","Boise",ID,placeholder
meridian-tms-center-meridian,"Meridian TMS Center","Meridian",ID,placeholder
meridian-mental-health-&-tms-meridian,"Meridian Mental Health & TMS","Meridian",ID,custom
meridian-depression-treatment-center-meridian,"Meridian Depression Treatment Center","Meridian",ID,placeholder
dr-thomas-private-practice-meridian,"Dr. Thomas Private Practice","Meridian",ID,placeholder
nampa-tms-center-nampa,"Nampa TMS Center","Nampa",ID,placeholder
nampa-mental-health-&-tms-nampa,"Nampa Mental Health & TMS","Nampa",ID,placeholder
idaho-falls-tms-center-idaho-falls,"Idaho Falls TMS Center","Idaho Falls",ID,placeholder
idaho-falls-mental-health-&-tms-idaho-falls,"Idaho Falls Mental Health & TMS","Idaho Falls",ID,placeholder
idaho-falls-depression-treatment-center-idaho-falls,"Idaho Falls Depression Treatment Center","Idaho Falls",ID,placeholder
dr-patel-private-practice-idaho-falls,"Dr. Patel Private Practice","Idaho Falls",ID,placeholder
caldwell-tms-center-caldwell,"Caldwell TMS Center","Caldwell",ID,placeholder
caldwell-mental-health-&-tms-caldwell,"Caldwell Mental Health & TMS","Caldwell",ID,custom
caldwell-depression-treatment-center-caldwell,"Caldwell Depression Treatment Center","Caldwell",ID,placeholder
dr-thomas-private-practice-caldwell,"Dr. Thomas Private Practice","Caldwell",ID,placeholder
chicago-tms-center-chicago,"Chicago TMS Center","Chicago",IL,placeholder
chicago-mental-health-&-tms-chicago,"Chicago Mental Health & TMS","Chicago",IL,placeholder
chicago-depression-treatment-center-chicago,"Chicago Depression Treatment Center","Chicago",IL,placeholder
aurora-tms-center-aurora-0,"Aurora TMS Center","Aurora",IL,placeholder
aurora-mental-health-&-tms-aurora-1,"Aurora Mental Health & TMS","Aurora",IL,placeholder
aurora-depression-treatment-center-aurora-2,"Aurora Depression Treatment Center","Aurora",IL,placeholder
joliet-tms-center-joliet,"Joliet TMS Center","Joliet",IL,placeholder
joliet-mental-health-&-tms-joliet,"Joliet Mental Health & TMS","Joliet",IL,placeholder
joliet-depression-treatment-center-joliet,"Joliet Depression Treatment Center","Joliet",IL,placeholder
dr-johnson-private-practice-joliet,"Dr. Johnson Private Practice","Joliet",IL,placeholder
naperville-tms-center-naperville,"Naperville TMS Center","Naperville",IL,placeholder
naperville-mental-health-&-tms-naperville,"Naperville Mental Health & TMS","Naperville",IL,placeholder
naperville-depression-treatment-center-naperville,"Naperville Depression Treatment Center","Naperville",IL,placeholder
rockford-tms-center-rockford,"Rockford TMS Center","Rockford",IL,placeholder
rockford-mental-health-&-tms-rockford,"Rockford Mental Health & TMS","Rockford",IL,placeholder
rockford-depression-treatment-center-rockford,"Rockford Depression Treatment Center","Rockford",IL,placeholder
dr-davis-private-practice-rockford,"Dr. Davis Private Practice","Rockford",IL,placeholder
indianapolis-tms-center-indianapolis,"Indianapolis TMS Center","Indianapolis",IN,placeholder
indianapolis-mental-health-&-tms-indianapolis,"Indianapolis Mental Health & TMS","Indianapolis",IN,placeholder
fort-wayne-tms-center-fort-wayne,"Fort Wayne TMS Center","Fort Wayne",IN,placeholder
fort-wayne-mental-health-&-tms-fort-wayne,"Fort Wayne Mental Health & TMS","Fort Wayne",IN,placeholder
evansville-tms-center-evansville,"Evansville TMS Center","Evansville",IN,placeholder
evansville-mental-health-&-tms-evansville,"Evansville Mental Health & TMS","Evansville",IN,placeholder
evansville-depression-treatment-center-evansville,"Evansville Depression Treatment Center","Evansville",IN,placeholder
south-bend-tms-center-south-bend,"South Bend TMS Center","South Bend",IN,placeholder
south-bend-mental-health-&-tms-south-bend,"South Bend Mental Health & TMS","South Bend",IN,placeholder
south-bend-depression-treatment-center-south-bend,"South Bend Depression Treatment Center","South Bend",IN,placeholder
carmel-tms-center-carmel,"Carmel TMS Center","Carmel",IN,placeholder
carmel-mental-health-&-tms-carmel,"Carmel Mental Health & TMS","Carmel",IN,placeholder
carmel-depression-treatment-center-carmel,"Carmel Depression Treatment Center","Carmel",IN,placeholder
des-moines-tms-center-des-moines,"Des Moines TMS Center","Des Moines",IA,placeholder
des-moines-mental-health-&-tms-des-moines,"Des Moines Mental Health & TMS","Des Moines",IA,placeholder
cedar-rapids-tms-center-cedar-rapids,"Cedar Rapids TMS Center","Cedar Rapids",IA,placeholder
cedar-rapids-mental-health-&-tms-cedar-rapids,"Cedar Rapids Mental Health & TMS","Cedar Rapids",IA,placeholder
cedar-rapids-depression-treatment-center-cedar-rapids,"Cedar Rapids Depression Treatment Center","Cedar Rapids",IA,placeholder
davenport-tms-center-davenport,"Davenport TMS Center","Davenport",IA,placeholder
davenport-mental-health-&-tms-davenport,"Davenport Mental Health & TMS","Davenport",IA,placeholder
davenport-depression-treatment-center-davenport,"Davenport Depression Treatment Center","Davenport",IA,placeholder
dr-lee-private-practice-davenport,"Dr. Lee Private Practice","Davenport",IA,placeholder
sioux-city-tms-center-sioux-city,"Sioux City TMS Center","Sioux City",IA,placeholder
sioux-city-mental-health-&-tms-sioux-city,"Sioux City Mental Health & TMS","Sioux City",IA,placeholder
iowa-city-tms-center-iowa-city,"Iowa City TMS Center","Iowa City",IA,placeholder
iowa-city-mental-health-&-tms-iowa-city,"Iowa City Mental Health & TMS","Iowa City",IA,placeholder
wichita-tms-center-wichita,"Wichita TMS Center","Wichita",KS,placeholder
wichita-mental-health-&-tms-wichita,"Wichita Mental Health & TMS","Wichita",KS,placeholder
overland-park-tms-center-overland-park,"Overland Park TMS Center","Overland Park",KS,placeholder
overland-park-mental-health-&-tms-overland-park,"Overland Park Mental Health & TMS","Overland Park",KS,placeholder
kansas-city-tms-center-kansas-city,"Kansas City TMS Center","Kansas City",KS,placeholder
kansas-city-mental-health-&-tms-kansas-city,"Kansas City Mental Health & TMS","Kansas City",KS,placeholder
olathe-tms-center-olathe,"Olathe TMS Center","Olathe",KS,placeholder
olathe-mental-health-&-tms-olathe,"Olathe Mental Health & TMS","Olathe",KS,placeholder
topeka-tms-center-topeka,"Topeka TMS Center","Topeka",KS,placeholder
topeka-mental-health-&-tms-topeka,"Topeka Mental Health & TMS","Topeka",KS,placeholder
topeka-depression-treatment-center-topeka,"Topeka Depression Treatment Center","Topeka",KS,placeholder
louisville-tms-center-louisville,"Louisville TMS Center","Louisville",KY,placeholder
louisville-mental-health-&-tms-louisville,"Louisville Mental Health & TMS","Louisville",KY,placeholder
louisville-depression-treatment-center-louisville,"Louisville Depression Treatment Center","Louisville",KY,placeholder
lexington-tms-center-lexington,"Lexington TMS Center","Lexington",KY,placeholder
lexington-mental-health-&-tms-lexington,"Lexington Mental Health & TMS","Lexington",KY,placeholder
lexington-depression-treatment-center-lexington,"Lexington Depression Treatment Center","Lexington",KY,placeholder
bowling-green-tms-center-bowling-green,"Bowling Green TMS Center","Bowling Green",KY,placeholder
bowling-green-mental-health-&-tms-bowling-green,"Bowling Green Mental Health & TMS","Bowling Green",KY,placeholder
owensboro-tms-center-owensboro,"Owensboro TMS Center","Owensboro",KY,placeholder
owensboro-mental-health-&-tms-owensboro,"Owensboro Mental Health & TMS","Owensboro",KY,placeholder
covington-tms-center-covington,"Covington TMS Center","Covington",KY,placeholder
covington-mental-health-&-tms-covington,"Covington Mental Health & TMS","Covington",KY,placeholder
covington-depression-treatment-center-covington,"Covington Depression Treatment Center","Covington",KY,placeholder
new-orleans-tms-center-new-orleans,"New Orleans TMS Center","New Orleans",LA,placeholder
new-orleans-mental-health-&-tms-new-orleans,"New Orleans Mental Health & TMS","New Orleans",LA,placeholder
baton-rouge-tms-center-baton-rouge,"Baton Rouge TMS Center","Baton Rouge",LA,placeholder
baton-rouge-mental-health-&-tms-baton-rouge,"Baton Rouge Mental Health & TMS","Baton Rouge",LA,placeholder
baton-rouge-depression-treatment-center-baton-rouge,"Baton Rouge Depression Treatment Center","Baton Rouge",LA,placeholder
dr-thomas-private-practice-baton-rouge,"Dr. Thomas Private Practice","Baton Rouge",LA,placeholder
shreveport-tms-center-shreveport,"Shreveport TMS Center","Shreveport",LA,placeholder
shreveport-mental-health-&-tms-shreveport,"Shreveport Mental Health & TMS","Shreveport",LA,placeholder
shreveport-depression-treatment-center-shreveport,"Shreveport Depression Treatment Center","Shreveport",LA,placeholder
lafayette-tms-center-lafayette,"Lafayette TMS Center","Lafayette",LA,placeholder
lafayette-mental-health-&-tms-lafayette,"Lafayette Mental Health & TMS","Lafayette",LA,placeholder
lafayette-depression-treatment-center-lafayette,"Lafayette Depression Treatment Center","Lafayette",LA,placeholder
lake-charles-tms-center-lake-charles,"Lake Charles TMS Center","Lake Charles",LA,placeholder
lake-charles-mental-health-&-tms-lake-charles,"Lake Charles Mental Health & TMS","Lake Charles",LA,placeholder
lake-charles-depression-treatment-center-lake-charles,"Lake Charles Depression Treatment Center","Lake Charles",LA,placeholder
dr-thomas-private-practice-lake-charles,"Dr. Thomas Private Practice","Lake Charles",LA,placeholder
portland-tms-center-portland,"Portland TMS Center","Portland",ME,placeholder
portland-mental-health-&-tms-portland,"Portland Mental Health & TMS","Portland",ME,placeholder
lewiston-tms-center-lewiston,"Lewiston TMS Center","Lewiston",ME,placeholder
lewiston-mental-health-&-tms-lewiston,"Lewiston Mental Health & TMS","Lewiston",ME,placeholder
bangor-tms-center-bangor,"Bangor TMS Center","Bangor",ME,placeholder
bangor-mental-health-&-tms-bangor,"Bangor Mental Health & TMS","Bangor",ME,placeholder
bangor-depression-treatment-center-bangor,"Bangor Depression Treatment Center","Bangor",ME,placeholder
south-portland-tms-center-south-portland,"South Portland TMS Center","South Portland",ME,placeholder
south-portland-mental-health-&-tms-south-portland,"South Portland Mental Health & TMS","South Portland",ME,placeholder
auburn-tms-center-auburn,"Auburn TMS Center","Auburn",ME,placeholder
auburn-mental-health-&-tms-auburn,"Auburn Mental Health & TMS","Auburn",ME,placeholder
baltimore-tms-center-baltimore,"Baltimore TMS Center","Baltimore",MD,placeholder
baltimore-mental-health-&-tms-baltimore,"Baltimore Mental Health & TMS","Baltimore",MD,placeholder
baltimore-depression-treatment-center-baltimore,"Baltimore Depression Treatment Center","Baltimore",MD,placeholder
columbia-tms-center-columbia,"Columbia TMS Center","Columbia",MD,placeholder
columbia-mental-health-&-tms-columbia,"Columbia Mental Health & TMS","Columbia",MD,placeholder
columbia-depression-treatment-center-columbia,"Columbia Depression Treatment Center","Columbia",MD,placeholder
germantown-tms-center-germantown,"Germantown TMS Center","Germantown",MD,placeholder
germantown-mental-health-&-tms-germantown,"Germantown Mental Health & TMS","Germantown",MD,placeholder
waldorf-tms-center-waldorf,"Waldorf TMS Center","Waldorf",MD,placeholder
